id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
167183,private house B & B. Arturo Soria (Metro),796746,Consuelo,Hortaleza,Piovera,40.45575,-3.64912,Private room,45,1,23,2012-10-17,0.21,2,363,0,
169766,Full Flat 2 rooms priv bath center,806256,Guillaume,Centro,Embajadores,40.40621,-3.70224,Entire home/apt,50,3,43,2015-09-23,0.36,1,53,0,
170750,2-bedroom attic & rooftop terrace,814490,Rafael,Centro,Universidad,40.42386,-3.70489,Entire home/apt,91,25,190,2016-09-19,1.66,2,222,0,
177523,"★STAYCATION★ Centro - Exclusive, Design Studio",596469,Gabriel Avalos,Centro,Universidad,40.42876,-3.70379,Entire home/apt,89,5,17,2021-09-04,0.29,27,335,6,
177846,"HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ",850654,Laila,Centro,Universidad,40.42399,-3.70389,Private room,20,3,61,2019-06-05,0.81,3,346,0,
196197,Views of San Andres Baroque from a Central Madrid Apartment,852616,Meyling,Centro,Palacio,40.41235,-3.70967,Entire home/apt,66,4,299,2021-08-31,2.64,2,307,16,
199016,Room in central top floor with 2 terraces,967721,Santi,Centro,Universidad,40.4257,-3.70383,Private room,28,2,25,2019-02-05,0.34,1,337,0,
199201,"Converted theatre, historic centre",749212,Henrietta,Centro,Embajadores,40.41319,-3.7024,Private room,70,3,149,2019-11-25,1.36,1,357,0,
200828,"FRENTE MAR, ZONA CALAS. PISCINA.",75944,Maite,Salamanca,Castellana,40.43201,-3.68358,Entire home/apt,286,14,0,,,1,365,0,33866
201033,Shiny Room in Malasaña II/Center,606925,Noelia,Centro,Universidad,40.4221,-3.70685,Private room,40,1,53,2020-03-01,0.61,3,338,0,
204570,Lovely 110m2 home - Best location!,1004721,Alex,Centro,Cortes,40.4152,-3.69668,Entire home/apt,180,4,100,2020-03-18,0.84,1,37,1,
205199,Tafari Gran Via,1008659,Nuria,Centro,Universidad,40.42116,-3.70384,Entire home/apt,85,3,272,2020-02-07,2.23,2,363,0,VT-121
209373,Attic in the Heart of Madrid-WIFI,1031664,José,Centro,Embajadores,40.41126,-3.70347,Private room,30,7,38,2018-08-12,0.41,1,277,1,
211444,Private Room in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Hortaleza,Canillas,40.45959,-3.64699,Private room,60,2,123,2021-09-04,1.06,1,345,2,
217674,PENTHOUSE DUPLEX ROOFTOP TERRACE PLAZA MAYOR s.XVI,1732442,Anouk,Centro,Sol,40.41538,-3.70741,Entire home/apt,221,3,220,2021-08-01,1.88,9,337,14,
219303,*** Malasaña B&B exterior***,499977,Charo,Centro,Universidad,40.42377,-3.70241,Private room,21,1,188,2019-10-05,2.13,2,337,4,
225462,Bright silent room in the center,1174648,Rebeca,Centro,Cortes,40.41366,-3.69788,Private room,30,2,149,2020-03-10,1.26,2,315,2,
225489,Madrid City Center. Room for 1 or 2 people.,1172225,Eva,Chamberí,Arapiles,40.43595,-3.70706,Private room,25,25,31,2016-01-13,0.29,3,0,0,
229664,Beautiful cozy loft madrid center,1130651,Sergio,Centro,Embajadores,40.4078,-3.70085,Entire home/apt,55,2,493,2020-01-23,4.25,3,302,4,
231861,COMFORTABLE ROOM IN A GREAT AREA!!!,1212528,Silvia,Chamberí,Trafalgar,40.43699,-3.70037,Private room,61,1,0,,,1,84,0,
250858,Cheap partament near green Areas R1,630482,Raquel,Carabanchel,Opañel,40.39231,-3.72359,Private room,20,15,5,2011-12-30,0.04,1,0,0,
256004,CASA ARCO TOLEDO - CUCHILLEROS ST. BALCONIES,1732442,Anouk,Centro,Sol,40.41428,-3.70767,Entire home/apt,170,3,146,2020-01-08,1.31,9,255,0,VT-519
260656,Quiet duplex apartment in Lavapiés,1367452,Javier,Centro,Embajadores,40.40743,-3.70114,Entire home/apt,88,7,36,2019-06-14,0.32,1,264,0,
260951,"Spectacular Loft ""A"" Ifema  Madrid",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47189,-3.62966,Entire home/apt,120,5,136,2019-12-12,1.29,2,1,2,
261878,GREAT STUDIO! BEST REVIEWS! CENTRAL,1373873,Al,Centro,Universidad,40.42269,-3.70378,Entire home/apt,67,2,487,2021-06-01,4.08,1,135,7,
263748,"LOFT ""C"" modern design loft IFEMA",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47142,-3.62881,Entire home/apt,64,7,112,2019-06-01,1.03,2,136,3,
268275,Madrid center with balconies,1406073,Jose Antonio,Centro,Embajadores,40.412682,-3.702548,Entire home/apt,69,2,57,2018-09-10,0.57,1,307,0,VT-1874
280733,"★STAYCATION★ Centro - Gran Via Exclusive, Family",596469,Gabriel Avalos,Centro,Universidad,40.42457,-3.70802,Entire home/apt,137,5,37,2021-08-07,0.76,27,319,5,
281224,Central & Comfy Apartment in Opera - Royal Palace,1466005,Pe,Centro,Palacio,40.41685,-3.70882,Entire home/apt,89,2,111,2020-03-11,1.83,1,201,8,
287660,Beatiful downtown room with balcony,1496188,Juanpe,Centro,Universidad,40.42683,-3.71108,Private room,30,1,11,2012-05-30,0.09,2,0,0,
289555,Casa Museo del Prado-Private room.,901218,Myrko,Centro,Cortes,40.41758,-3.69631,Private room,51,1,171,2021-06-19,1.77,22,345,6,
294520,Centro de Madrid Gran Habitación,1522694,Isdel Pablo,Centro,Justicia,40.42226,-3.69959,Private room,41,3,25,2019-04-07,0.61,4,356,0,
294529,Centro de Madrid. Room 3,1522694,Isdel Pablo,Centro,Justicia,40.42226,-3.69959,Private room,37,2,55,2019-09-24,0.67,4,365,0,
297017,Charming Prado Luxury,4677030,Jaime,Centro,Cortes,40.41414,-3.69419,Entire home/apt,182,3,64,2019-10-01,0.97,6,343,17,
310333,"Central, cute & Art Apartment",1596220,Paloma,Centro,Embajadores,40.40908,-3.69514,Entire home/apt,74,4,115,2021-08-25,1.05,1,298,8,VT-160
310678,Precioso apartamento en Gran Via,1598163,Soledad,Centro,Universidad,40.42163,-3.70785,Entire home/apt,68,3,312,2019-10-28,2.69,1,158,1,
315682,QUIET and SPACIOUS .Heart of Malasaña.Madrid.,1095831,Rosalind  & Tino,Centro,Universidad,40.42365,-3.70379,Entire home/apt,172,3,208,2018-07-20,1.81,4,40,0,
316711,"OPERA, PALACIO REAL, CENTRO, SOL",162701,Nacho,Centro,Sol,40.41822,-3.70845,Private room,200,15,15,2019-09-07,0.23,3,307,0,
318826,Wonderful apartment. JUST REMODELED,1636378,Francisco Tomas,Latina,Aluche,40.39577,-3.75985,Entire home/apt,100,5,16,2017-10-01,0.15,1,356,1,VT-2148
336672,Great apartment ∞4 rooms∞ close to City Center,1716726,Jesús,Arganzuela,Delicias,40.39516,-3.69309,Entire home/apt,107,2,57,2019-09-08,1.25,5,64,1,
336834,2 bedroom apartament in Chueca-Fuen,1713427,Helena,Centro,Justicia,40.42242,-3.69562,Entire home/apt,65,5,46,2021-08-29,0.42,1,41,2,
336869,Direct to Plaza Mayor!,1713524,Oliver,Centro,Sol,40.41593,-3.70602,Private room,87,2,105,2017-04-24,0.93,2,0,0,
337292,Principe de Vergara. Homey Room,1714866,Francisco,Chamartín,Ciudad Jardín,40.44663,-3.67625,Private room,35,2,7,2017-04-18,0.10,1,0,0,
339144,COZY APARTMENT MADRID MALASAÑA,1721158,Pau&Patricia,Centro,Universidad,40.42838,-3.70345,Entire home/apt,68,6,126,2016-06-25,1.13,2,292,2,
339171,PRADO MUSEUM AIR & OnSiteParking (*),1722284,Cesar,Centro,Cortes,40.41285,-3.69553,Entire home/apt,82,3,160,2019-11-04,1.40,1,218,4,VT-6570
339813,Room in Madrid Center good ambient,1713273,Antonio,Centro,Cortes,40.41204,-3.6975,Entire home/apt,80,2,2,2013-12-06,0.02,1,364,0,
341939,Self-catering Apartment in Madrid,1694537,Miguel Angel & Iaia,Centro,Embajadores,40.41037,-3.70018,Entire home/apt,51,7,168,2019-05-28,1.62,1,329,1,
342095,Lovely apartment CENTRAL MADRID !,1703448,Elena,Centro,Embajadores,40.41015,-3.69797,Entire home/apt,81,3,32,2019-05-27,0.33,2,319,0,
342557,Berlin's Park at your window. Parking included.,1738288,Jose Angel,Chamartín,Ciudad Jardín,40.45005,-3.67569,Private room,95,2,55,2019-11-03,0.57,1,365,0,
345195,DUPLO Heart of Madrid/Malasaña,1095831,Rosalind  & Tino,Centro,Universidad,40.42365,-3.70536,Entire home/apt,89,3,4,2014-08-25,0.14,4,0,0,
345230,GOYA apartment.Heart of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.42531,-3.70597,Private room,77,3,4,2019-04-11,0.05,4,89,0,
345233,MIRO apartment.Heart of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.42504,-3.704,Private room,77,3,4,2018-12-15,0.04,4,89,0,
347510,Classy Central Family Alcalá Deluxe,1751133,The Punset Family,Salamanca,Fuente del Berro,40.42881,-3.66605,Entire home/apt,103,90,43,2018-09-29,0.38,1,322,1,VT-1897
354838,Entire apartment Plaza de España!,1496188,Juanpe,Centro,Universidad,40.4249,-3.7097,Entire home/apt,70,20,38,2015-06-14,0.37,2,0,0,
361053,"Cozy, luminous  excellenty placed",1729503,Ana,Retiro,Niño Jesús,40.40988,-3.67503,Entire home/apt,100,2,156,2019-10-04,1.37,3,119,2,VUT 8713
363476,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Centro,Sol,40.41676,-3.70682,Private room,48,2,410,2020-01-27,3.60,1,336,15,
371532,"Fantastic Location. Great apartment, Opera",1871034,Olga,Centro,Palacio,40.41944,-3.70945,Entire home/apt,80,2,78,2020-03-05,0.86,1,179,0,
375472,Host family in the center of Madrid,1888816,Margarita,Arganzuela,Acacias,40.40334,-3.70254,Private room,22,6,148,2020-02-15,1.35,4,0,3,
376379,Great Studio for Rent in Madrid,1892467,Laura,Centro,Embajadores,40.41115,-3.69673,Entire home/apt,42,10,20,2021-08-13,0.37,3,262,1,
377151,private house in elegant neiborhood,1895571,Lola,Salamanca,Fuente del Berro,40.42163,-3.66249,Private room,30,1,30,2015-06-26,0.34,2,0,0,
391795,Quiet room in a terraced house,1958516,Almu Y Santi,Puente de Vallecas,Entrevías,40.37733,-3.67441,Private room,35,2,13,2013-06-06,0.11,2,365,0,
396532,"Apart. 25mts from Gran Via,exterior",1981346,Daniel,Centro,Sol,40.41959,-3.70373,Entire home/apt,88,2,119,2019-05-12,1.05,1,196,0,
397778,PUERTA DEL SOL VI - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41506,-3.7029,Entire home/apt,85,3,41,2019-10-08,0.40,35,325,4,VT- 553
398450,a special place with special views,2150362,Nuria,Centro,Universidad,40.42771,-3.71029,Entire home/apt,54,3,236,2020-03-17,2.12,1,295,8,
402588,PUERTA DEL SOL l - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.4149,-3.70331,Entire home/apt,83,3,149,2021-08-31,1.44,35,317,9,vt- 523
404569,GRAN VIA  -  Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,Universidad,40.42552,-3.70589,Entire home/apt,88,3,51,2020-03-02,0.66,35,331,3,VT-552
406341,"Quiet downtown Madrid, nearby all",2024487,Fernando,Salamanca,Lista,40.42978,-3.67817,Private room,25,3,128,2019-07-25,1.16,1,281,4,
406697,Lovely & Cozy Apartment Center,1973909,Jose Y Ana,Centro,Cortes,40.41401,-3.70004,Entire home/apt,56,2,383,2019-03-18,3.34,1,0,0,
410699,80m2 spacious bright loft apartment,2044655,Sylvia,Centro,Sol,40.41737,-3.70015,Entire home/apt,140,2,153,2019-10-24,1.73,8,127,0,
414763,LATINA - lV - STUDIO MADRID CENTRE,1408525,Mad4Rent,Centro,Palacio,40.41281,-3.70749,Entire home/apt,73,3,38,2019-09-23,0.81,35,322,4,VT-691
415967,LAVAPIES CLASSY (CENTER TOWN),2068619,Alfonso,Centro,Embajadores,40.40827,-3.70049,Entire home/apt,76,2,152,2016-05-31,1.38,1,64,0,
416705,Quiet room in a two level house,1958516,Almu Y Santi,Puente de Vallecas,Entrevías,40.379,-3.67423,Private room,30,2,66,2014-07-19,0.63,2,354,0,
420039,Bonito estudio en pleno centro,9934732,Fernando Javier,Centro,Universidad,40.42738,-3.70635,Entire home/apt,44,1,651,2020-03-08,5.82,3,238,7,VT 7436
424816,Habitación privada en apartamento..,2111994,Carolina,Tetuán,Cuatro Caminos,40.45399,-3.69957,Private room,30,90,4,2013-10-29,0.05,2,72,0,
425616,Luxury apartment in Barrio Salamanc,1724674,Servi-Madrid Servicios&Reformas,Retiro,Ibiza,40.41999,-3.67493,Entire home/apt,150,3,15,2016-06-30,0.17,1,350,0,
427407,study sol-atocha I,2106353,Reyes,Centro,Embajadores,40.41155,-3.70146,Entire home/apt,65,2,7,2012-10-27,0.06,2,328,0,
429306,Vintage and Scandi Chic at an Historic Central Madrid Home,2134007,Lola,Chamberí,Arapiles,40.43028,-3.70732,Entire home/apt,113,3,182,2019-11-30,1.90,2,196,1,VT-2555
429604,sol-atocha II study,2106353,Reyes,Centro,Cortes,40.4135,-3.70145,Entire home/apt,70,2,2,2015-06-25,0.02,2,347,0,
439715,Chueca Secret Apartment,2184106,Pedro,Centro,Justicia,40.42224,-3.69776,Entire home/apt,100,2,14,2021-04-25,0.13,1,71,1,
440596,Quiet Central Apartment with WiFi,1280726,Mallory,Chamberí,Trafalgar,40.43015,-3.69864,Entire home/apt,30,3,7,2012-09-23,0.06,1,0,0,
442986,madrid center chueca house wiffi,2201302,Cesar,Centro,Justicia,40.42389,-3.6977,Entire home/apt,96,2,18,2018-07-15,0.36,1,363,0,
444113,Pretty room,2206218,Tomas,Latina,Lucero,40.40182,-3.75334,Private room,25,1,0,,,1,365,0,
449218,"Central, fully equipped, best price",2230279,Marina,Centro,Justicia,40.42849,-3.70183,Entire home/apt,49,3,290,2020-02-22,2.61,1,302,4,
451174,Large single room in Madrid´s trending Almagro,2240898,Alejandro,Chamberí,Almagro,40.434551,-3.698387,Private room,26,1,5,2018-05-23,5,1,68,1,
456165,Nice room in Madrid,617086,Agata,Carabanchel,Comillas,40.39032,-3.71382,Private room,30,2,7,2019-06-23,0.14,1,0,1,
459303,GRAN VIA - l - CENTRAL & BRIGHT,1408525,Mad4Rent,Centro,Universidad,40.42548,-3.7042,Entire home/apt,83,3,27,2020-03-03,0.32,35,335,5,VT- 556
459362,PUERTA DEL SOL- ll - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41592,-3.70177,Entire home/apt,90,3,51,2021-07-11,0.60,35,268,12,VT-555
460898,Wide and nice apartment in Madrid,2290984,Artur,Fuencarral - El Pardo,La Paz,40.48503,-3.69858,Private room,15,30,0,,,1,0,0,
462072,Spectacular Penthouse 95 m² Latina,2296476,Jose Manuel,Centro,Palacio,40.40869,-3.71073,Entire home/apt,119,2,75,2021-07-25,0.70,1,70,13,VT-11049
463246,Lovely Apartment Madrid Center,2302267,Carmen,Centro,Palacio,40.41419,-3.71113,Entire home/apt,60,3,14,2021-05-26,0.26,1,61,3,VT-18
464307,"LOVELY SUNNY, DOWNTOWN, 2 BR APT.",2307294,Lua & Carlos,Centro,Universidad,40.42186,-3.70341,Entire home/apt,85,3,60,2016-06-05,0.53,1,163,0,
467552,DESIGN PENTHOUSE ALONSO MARTINEZ!,2320165,Fernando,Chamberí,Almagro,40.42859,-3.69521,Entire home/apt,73,2,34,2017-09-15,0.43,1,136,1,
468202,BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI,2322563,Julio And Sarah,Centro,Universidad,40.42123,-3.70133,Entire home/apt,35,30,271,2019-07-29,2.45,1,235,4,
469231,ATICO PRECIADOS,1408525,Mad4Rent,Centro,Palacio,40.41941,-3.70823,Entire home/apt,87,3,50,2021-07-16,0.60,35,293,1,VT-524
470132,❤Quiet & Comfortable apartment downtown,2332600,Rodrigo,Centro,Embajadores,40.41018,-3.70164,Entire home/apt,76,3,38,2015-09-21,0.37,1,266,0,VT-297
471198,GRAN VIA - Vlll - MADRID OLD TOWN,1408525,Mad4Rent,Centro,Universidad,40.42359,-3.70537,Entire home/apt,95,3,43,2019-10-19,0.53,35,333,3,VT-549
471328,PUERTA DEL SOL - Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41628,-3.70364,Entire home/apt,90,3,148,2019-12-01,1.61,35,313,4,VT-532
473112,LUXURY DUPLEX CENTER A/A-WIFI,2346162,Carlos,Centro,Justicia,40.42349,-3.70024,Entire home/apt,87,18,58,2021-06-29,0.52,1,179,5,
477652,REINA SOFIA - ll - WITH  TERRACE,1408525,Mad4Rent,Centro,Embajadores,40.40707,-3.69848,Entire home/apt,83,9,20,2019-10-28,0.25,35,254,0,VT-1181
479718,Wanda Stadium. Madrid. 20 minutes from Sol by tube,2376402,Jesús,San Blas - Canillejas,Rosas,40.43202,-3.60353,Private room,36,3,14,2016-01-11,0.15,1,111,0,
482122,TRAFALGAR - CITY - SPACE & LIGHT,1408525,Mad4Rent,Chamberí,Trafalgar,40.43271,-3.70156,Entire home/apt,88,3,9,2016-01-12,0.11,35,317,1,vt- 319
491070,NICE APT IN THE HEART OF MADRID !!!,2427722,Ignacio,Centro,Universidad,40.42885,-3.70479,Entire home/apt,70,180,11,2012-11-19,0.10,1,245,0,VT-8441
497706,Peaceful apartment in Madrid Centre,2456671,José & María,Retiro,Jerónimos,40.40808,-3.68338,Entire home/apt,60,1,214,2021-08-23,2.00,3,253,6,VT-7721
499911,2 bedroom apartment downtown Madrid,2467212,Joël,Centro,Embajadores,40.41234,-3.70186,Entire home/apt,97,4,163,2021-08-15,1.71,1,297,3,VT-2176
502918,Cozy room in penthouse in Madrid's heart,2480913,Elvira,Centro,Cortes,40.41155,-3.69492,Private room,48,3,86,2020-01-21,1.32,1,0,0,
506956,Precioso  apartamento  céntrico  en Madrid,1932547,Nieves,Ciudad Lineal,Concepción,40.44117,-3.64841,Entire home/apt,68,1,426,2021-09-05,6.26,1,123,23,
507614,Malasaña: Amazing&extremely central 2BD flat,2501740,Moises&Cristina + Little Sophie&Eli,Centro,Universidad,40.42323,-3.70434,Entire home/apt,84,30,23,2019-06-23,0.60,5,275,0,VT-8051
510973,Habitación céntrica a 1 min de Plza Santa Ana,2517520,Ruben,Centro,Cortes,40.41412,-3.70057,Private room,46,2,4,2017-05-29,0.07,1,346,0,
514917,"Nice room, nice flat",83531,Abdel,Latina,Cármenes,40.40393,-3.74182,Private room,31,4,27,2018-06-05,0.29,2,363,0,
515008,LOVELY YELLOW ROOM & NEAR WANDA´S STADIUM,2536524,Marina,San Blas - Canillejas,Arcos,40.42297,-3.61193,Private room,17,10,23,2018-02-20,0.22,5,349,1,
516955,Habitación en el Centro de Madrid,2545179,Gustavo,Puente de Vallecas,Numancia,40.39786,-3.66776,Private room,25,2,0,,,1,365,0,
518208,LOVELY ORANGE ROOM & NEAR WANDA´S STAADIUM,2536524,Marina,San Blas - Canillejas,Arcos,40.42756,-3.61577,Private room,21,10,18,2019-10-19,0.17,5,264,0,
518511,"Central, cheery, light, historic",1150912,Andrew,Centro,Embajadores,40.41012,-3.70484,Private room,40,2,8,2018-04-07,0.13,1,253,0,
521329,Nice&perfect location singel room,2563986,Elena,Chamartín,Hispanoamérica,40.45591,-3.68773,Private room,30,30,0,,,5,253,0,
521367,Penthouse with terrace in SOL,2564339,Alfonso & Guillermo,Centro,Sol,40.4154,-3.70255,Entire home/apt,86,3,122,2019-07-25,1.21,14,202,1,VT-00383
524003,NEXT TO PLAZA MAYOR STATELY BUILDNG,2576044,Angel,Centro,Embajadores,40.41327,-3.70223,Private room,65,2,380,2021-08-23,3.55,1,353,2,
526162,Single room in shared flat. Central,2249249,David,Retiro,Pacífico,40.4057,-3.67605,Private room,19,2,1,2012-08-04,0.01,1,0,0,
526513,Sol.  Your home in Madrid´s Heart,1134989,Óscar,Centro,Sol,40.41604,-3.70834,Entire home/apt,63,2,538,2021-07-29,4.89,1,148,31,VT-2803
529690,Architect's sunny La Latina retreat,1020814,Kersten,Centro,Palacio,40.41004,-3.71233,Entire home/apt,100,2,14,2014-05-05,0.13,1,39,2,
